id	region	municipality	settlement	type	latitude_dd	longitude_dd
122780	Мурманская область	Городской округ ЗАТО город Заозёрск	Заозерск	г	69.40027778	32.45
48983	Псковская область	Печорский район	Печоры	г	57.81388889	27.60916667
36980	Архангельская область	Каргопольский муниципальный район	Каргополь	г	61.50527778	38.94722222
61324	Кировская область	Уржумский район	Уржум	г	57.10972222	50.00583333
146744	Нижегородская область	Володарский район	Володарск	г	56.21694444	43.15972222
58421	Республика Карелия	Беломорский	Беломорск	г	64.52305556	34.76666667
45731	Смоленская область	Ельнинский район	Ельня	г	54.57611111	33.17944444
93505	Республика Северная Осетия - Алания	Дигорский	Дигора	г	43.15666667	44.155
146114	Тульская область	Город Новомосковск	Сокольники	г	54.06888889	38.47861111
154920	Республика Дагестан	Южно-Сухокумск	Южно-Сухокумск	г	44.66027778	45.65
81792	Севастополь	Инкерман	Инкерман	г	44.61444444	33.60888889
19491	Новгородская область	Маловишерский муниципальный район	Малая Вишера	г	58.84583333	32.21777778
144606	Воронежская область	Эртильский район	Эртиль	г	51.83583333	40.79916667
150906	Новгородская область	Окуловский муниципальный район	Окуловка	г	58.39083333	33.29027778
46104	Удмуртская республика	Камбарский	Камбарка	г	56.26527778	54.19444444
128134	Кировская область	Вятскополянский район	Сосновка	г	56.25333333	51.28333333
142321	Псковская область	Опочецкий район	Опочка	г	56.71416667	28.66
20311	Алтайский край	Змеиногорский	Змеиногорск	г	51.15805556	82.18722222
60195	Вологодская область	Вытегорский район	Вытегра	г	61.00638889	36.44944444
77623	Нижегородская область	Павловский район	Ворсма	г	55.99	43.27194444
82435	Республика Ингушетия	Магас	Магас	г	43.1675	44.80916667
26274	Калужская область	Боровский	Ермолино	г	55.19722222	36.59527778
90391	Рязанская область	Михайловский район	Михайлов	г	54.2325	39.02361111
146381	Республика Хакасия	Сорск	Сорск	г	54.00027778	90.25944444
13457	Ивановская область	Заволжский район	Заволжск	г	57.49166667	42.1375
83029	Калининградская область	Неманский район	Неман	г	55.03166667	22.0325
95629	Амурская область	Завитинский	Завитинск	г	50.10638889	129.4394444
125821	Московская область	Каширский	Ожерелье	г	54.7925	38.26583333
97943	Владимирская область	Судогодский	Судогда	г	55.95	40.85638889
143914	Ленинградская область	Кингисеппский муниципальный район	Ивангород	г	59.37666667	28.22305556
123641	Республика Крым	Ленинский район	Щелкино	г	45.42361111	35.81861111
94314	Московская область	Клинский	Высоковск	г	56.32027778	36.55111111
76799	Смоленская область	Дорогобужский район	Дорогобуж	г	54.91388889	33.3025
95568	Красноярский край	Рыбинский район	Заозерный	г	55.96027778	94.70944444
27448	Кировская область	Верхнекамский район	Кирс	г	59.34	52.24138889
7416	Республика Карелия	Питкярантский	Питкяранта	г	61.57305556	31.47138889
97922	Кировская область	Лузский район	Луза	г	60.62916667	47.26111111
41927	Брянская область	Суражский район	Сураж	г	53.01416667	32.39416667
145220	Кировская область	Зуевский район	Зуевка	г	58.40333333	51.13333333
27862	Калужская область	Жуковский	Жуков	г	55.03166667	36.74638889
6078	Орловская область	Болховский	Болхов	г	53.44888889	36.00222222
142774	Иркутская область	Киренский район	Киренск	г	57.77583333	108.1108333
4165	Республика Тыва	Улуг-Хемский кожуун	Шагонар	г	51.53472222	92.92
41949	Астраханская область	Наримановский район	Нариманов	г	46.69027778	47.85361111
73337	Челябинская область	Карабашский	Карабаш	г	55.48527778	60.23611111
136178	Республика Бурятия	Закаменский район	Закаменск	г	50.37277778	103.2866667
130497	Воронежская область	Богучарский район	Богучар	г	49.93527778	40.55916667
56536	Новосибирская область	Чулымский район	Чулым	г	55.09138889	80.96333333
127341	Кировская область	Белохолуницкий район	Белая Холуница	г	58.84361111	50.85277778
58947	Республика Марий Эл	Звениговский район	Звенигово	г	55.97388889	48.01694444
149849	Республика Саха (Якутия)	Вилюйский	Вилюйск	г	63.75	121.6166667
50859	Калужская область	Боровский	Боровск	г	55.2075	36.48361111
19671	Омская область	Называевский район	Называевск	г	55.56888889	71.35027778
134315	Рязанская область	Кораблинский район	Кораблино	г	53.92472222	40.02277778
59655	Свердловская область	городской округ Верхний Тагил	Верхний Тагил	г	57.37638889	59.95166667
23867	Калининградская область	Город Пионерский	Пионерский	г	54.95166667	20.22777778
12283	Республика Татарстан	Тетюшский район	Тетюши	г	54.93666667	48.83138889
40528	Нижегородская область	Чкаловск	Чкаловск	г	56.67944444	43.06805556
84358	Пермский край	Горнозаводский район	Горнозаводск	г	58.37472222	58.33083333
140878	Вологодская область	Бабаевский район	Бабаево	г	59.38916667	35.93777778
