id	region	municipality	settlement	type	population	children	latitude_dms	longitude_dms	latitude_dd	longitude_dd	oktmo	dadata	rosstat	ACME_Index_2000	ALPHA_Index100_2000	BRAVO_VALUE_2000	ACME_Index_2001	ALPHA_Index100_2001	BRAVO_VALUE_2001	ACME_Index_2002	ALPHA_Index100_2002	BRAVO_VALUE_2002	ACME_Index_2003	ALPHA_Index100_2003	BRAVO_VALUE_2003	ACME_Index_2004	ALPHA_Index100_2004	BRAVO_VALUE_2004	ACME_Index_2005	ALPHA_Index100_2005	BRAVO_VALUE_2005	ACME_Index_2006	ALPHA_Index100_2006	BRAVO_VALUE_2006	ACME_Index_2007	ALPHA_Index100_2007	BRAVO_VALUE_2007	ACME_Index_2008	ALPHA_Index100_2008	BRAVO_VALUE_2008	ACME_Index_2009	ALPHA_Index100_2009	BRAVO_VALUE_2009	ACME_Index_2010	ALPHA_Index100_2010	BRAVO_VALUE_2010	ACME_Index_2011	ALPHA_Index100_2011	BRAVO_VALUE_2011	ACME_Index_2012	ALPHA_Index100_2012	BRAVO_VALUE_2012	ACME_Index_2013	ALPHA_Index100_2013	BRAVO_VALUE_2013	ACME_Index_2014	ALPHA_Index100_2014	BRAVO_VALUE_2014	ACME_Index_2015	ALPHA_Index100_2015	BRAVO_VALUE_2015	ACME_Index_2016	ALPHA_Index100_2016	BRAVO_VALUE_2016	ACME_Index_2017	ALPHA_Index100_2017	BRAVO_VALUE_2017	ACME_Index_2018	ALPHA_Index100_2018	BRAVO_VALUE_2018	ACME_Index_2019	ALPHA_Index100_2019	BRAVO_VALUE_2019	ACME_Index_2020	ALPHA_Index100_2020	BRAVO_VALUE_2020	ACME_Index_2021	ALPHA_Index100_2021	BRAVO_VALUE_2021	ECHO_Type_2000	ECHO_Type_2001	ECHO_Type_2002	ECHO_Type_2003	ECHO_Type_2004	ECHO_Type_2005	ECHO_Type_2006	ECHO_Type_2007	ECHO_Type_2008	ECHO_Type_2009	ECHO_Type_2010	ECHO_Type_2011	ECHO_Type_2012	ECHO_Type_2013	ECHO_Type_2014	ECHO_Type_2015	ECHO_Type_2016	ECHO_Type_2017	ECHO_Type_2018	ECHO_Type_2019	ECHO_Type_2020	ECHO_Type_2021
57369	Республика Хакасия	Абаза	Абаза	г	15210	2933	52.39.06	090.05.19	52.65166667	90.08861111	95702000001	0	1	2.343358608	92.20882967	3240.945283	5.172166859	100.4757566	3232.361357	-1.636397485	96.87157523	3238.099645	1.978775849	97.8882633	3233.766375	3.998925217	90.85360966	3233.799494	NA	95.82966062	3236.738771	-1.44153253	97.90976065	3235.097694	3.915352658	93.00546733	3239.630918	1.633517004	96.27923735	3236.631758	0.785410467	96.66966894	3226.652736	1.375296814	94.78672819	3232.012577	-1.967149901	96.00283606	3234.95054	-0.779185692	89.89803464	3232.501667	3.184821172	96.03287624	NA	6.815805778	98.28804369	NA	2.883512129	96.11336191	3236.028713	6.307367866	94.31815584	3233.203134	5.486328461	95.75801574	3234.042361	1.993829986	96.95240336	3227.388006	-5.133103335	97.60582286	3235.738023	0.667473608	96.92090649	3235.079706	3.286771317	99.12523423	3234.526485	3	4	3	2	2	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2
119491	Республика Хакасия	Абакан	Абакан	г	185161	47062	53.43.16	091.26.33	53.72111111	91.4425	95701000001	0	1	2.463696976	60.61226258	1186.8965	4.205864515	60.19004035	1184.047312	1.37925276	58.83477014	1184.048664	2.987076019	59.62828734	1187.762287	1.177923699	55.79213423	1184.69597	2.574802166	59.71489403	1184.325292	1.275757024	59.91820057	1183.470039	4.243513159	60.07727794	1185.406501	1.840232402	61.61295112	1185.638976	2.003551262	61.3336663	1182.368458	2.622426396	60.30319443	1181.741198	1.16758727	58.36281194	1185.038898	1.535231272	58.34451869	1184.567462	1.746111455	57.79771917	1184.28422	2.525610373	60.92359897	1182.991187	2.112116836	60.86260506	1185.059955	3.204707376	60.02589683	1185.492527	2.724933155	60.20356081	1185.426136	3.117321616	58.92166672	1181.729273	2.232439941	60.69895788	1187.210534	1.031173978	59.90905403	1184.876716	3.047184791	58.98071857	1186.926352	3	2	2	3	3	4	5	4	3	2	2	3	4	4	3	2	2	1	2	1	2	2
4377	Оренбургская область	Абдулинский городской округ	Абдулино	г	18768	4169	53.40.40	053.38.50	53.67777778	53.64722222	53704000001	0	1	1.924187649	17.05719627	1617.306494	5.30844817	23.94422575	1609.414232	-1.332160716	20.67583286	1614.701744	1.466245392	21.36622642	1610.222404	3.874163548	15.68730003	1610.07073	3.060301611	20.44494539	1612.200972	-2.532503536	22.76181259	1611.946943	4.449205996	18.69551061	1614.470033	2.771555983	21.15465852	1612.9275	1.419443943	21.32053954	1603.227844	1.864189322	19.97318827	1607.761009	-1.660835109	19.82982417	1611.041646	-0.634597904	13.97115503	1608.745775	3.983541505	20.51058508	1608.789345	7.752681316	23.10471988	1603.26674	1.879783706	19.89946579	1613.23237	5.815128582	20.12498566	1610.426798	4.211658964	19.68441767	1610.047278	NA	21.46694097	1604.643824	-4.766986183	21.35629304	1610.676737	-0.375242336	21.49498528	1610.628225	3.752112759	22.72620304	1610.879592	5	5	5	5	4	5	5	4	5	4	4	4	5	5	5	5	4	3	4	3	2	1
127520	Краснодарский край	Абинский район	Абинск	г	38119	8712	44.52.05	038.09.42	44.86805556	38.16166667	3601101001	0	1	-1.173709155	73.44040437	7437.006467	4.646931901	75.25997673	7431.579481	-0.60953703	71.84739674	7437.111584	2.231740349	72.7540143	7434.191713	3.106941902	68.32046106	7434.718761	3.409316947	71.47437091	7434.654842	1.463187353	72.05206765	7434.078855	3.169945346	74.26579964	7437.144055	2.467356548	74.0858156	7434.530101	1.91679916	76.03410814	7427.149211	1.496106717	74.52384357	7431.689829	-3.431382754	71.83464532	7434.718241	1.027987073	68.59904593	7431.132051	3.097915633	73.21775794	7429.808181	3.223850579	74.29157049	7427.883203	2.166915042	73.5856632	7435.734477	3.502797591	74.75944047	7433.510122	3.900161148	71.71883301	7432.20618	3.710939078	74.62614166	7430.442136	-3.663561317	74.12982669	7434.184696	-0.152395226	75.04586047	7434.183088	1.185910076	75.81282906	7435.056603	5	5	5	4	4	4	5	5	5	4	3	2	1	0	1	1	2	2	1	2	1	1
74449	Республика Башкортостан	Агидель	Агидель	г	14601	3114	55.53.59	053.55.19	55.89972222	53.92194444	80703000001	0	1	1.153859434	80.91959705	497.6698056	1.130944491	80.77004063	497.6359737	0.740461099	80.71328272	496.7984575	0.418734513	80.6489634	498.1706007	0.363138831	79.83097916	496.5660097	1.255533536	80.66314898	496.8313401	-0.078124183	80.61954208	495.83074	1.205865486	81.3914651	497.0884525	1.361252805	81.8281233	496.8136939	0.406419687	81.69571158	496.061845	0.655733513	80.70989465	496.0418752	0.500105568	79.44862273	496.8106174	0.016622868	80.54686172	496.5807665	0.792371982	81.23584619	497.3346675	1.251936595	81.52830778	497.3857054	0.198217531	80.62140292	497.0099931	1.446643507	80.27340651	496.8641042	0.914534312	80.56558037	497.8241023	0.898607907	79.94319312	495.8481792	1.836244619	80.48941043	497.6694266	1.613647668	80.23874359	496.4350128	-0.081737122	81.13759488	497.2597065	4	3	4	3	4	3	2	1	2	3	2	2	3	3	4	4	3	4	3	3	2	2
45298	Республика Татарстан	Агрызский район	Агрыз	г	19844	5050	56.31.35	052.59.43	56.52638889	52.99527778	92601101001	0	1	2.656377771	16.92878351	3260.067575	5.485186022	25.19571043	3251.483648	-1.323378322	21.59152907	3257.221937	2.291795012	22.60821714	3252.888667	4.31194438	15.5735635	3252.921786	4.210209378	20.54961446	3255.861062	-1.128513367	22.62971449	3254.219986	4.228371821	17.72542117	3258.753209	1.946536167	20.99919119	3255.75405	1.09842963	21.38962278	3245.775028	1.688315977	19.50668203	3251.134869	-1.654130739	20.7227899	3254.072832	-0.466166529	14.61798848	3251.623958	3.497840335	20.75283008	3251.506576	7.128824941	23.00799753	3246.000204	3.196531292	20.83331575	3255.151005	6.620387029	19.03810968	3252.325425	5.799347624	20.47796958	3253.164652	2.306849149	21.6723572	3246.510297	-4.820084172	22.3257767	3254.860314	0.980492771	21.64086033	3254.201997	3.59979048	23.84518807	3253.648776	4	5	5	5	4	5	4	3	4	5	5	5	4	5	5	4	5	5	5	4	5	4
153258	Республика Адыгея	Городской округ Адыгейск	Адыгейск	г	12745	2994	44.52.42	039.11.25	44.87833333	39.19027778	79703000001	0	1	2.007739307	39.42431215	4929.243813	1.984824363	39.27475572	4929.209981	1.594340972	39.21799782	4928.372465	1.272614386	39.15367849	4929.744608	1.217018704	38.33569425	4928.140017	2.109413409	39.16786407	4928.405348	0.77575569	39.12425718	4927.404748	2.059745359	39.89618019	4928.66246	2.215132678	40.33283839	4928.387702	1.26029956	40.20042667	4927.635853	1.509613386	39.21460975	4927.615883	1.353985441	37.95333782	4928.384625	0.870502741	39.05157681	4928.154774	1.646251855	39.74056129	4928.908675	2.105816468	40.03302287	4928.959713	1.052097404	39.12611802	4928.584001	2.30052338	38.77812161	4928.438112	1.768414185	39.07029547	4929.39811	1.75248778	38.44790822	4927.422187	2.690124492	38.99412553	4929.243434	2.467527541	38.74345868	4928.009021	0.772142751	39.64230997	4928.833714	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5
47524	Республика Татарстан	Азнакаевский район	Азнакаево	г	34720	8302	54.51.35	053.04.28	54.85972222	53.07444444	92602101001	0	1	-1.62930561	79.78434316	5661.714989	4.591024862	82.64193651	5655.05691	NA	78.69901834	5660.194653	0.977474608	81.14428962	5656.075442	3.20340633	75.55082827	5657.962801	2.873187131	78.28349966	5657.165085	0.437488119	78.9290439	5656.658608	2.010820556	80.64027874	5660.016476	1.262009366	81.03080249	5658.416536	1.268332473	82.90926564	5650.166936	1.314953366	81.494829	5655.999803	-4.208377937	78.45572648	5658.810231	0.631747114	75.12291589	5654.123209	3.700682351	80.87106614	5653.60501	3.941822697	80.70323064	5651.11562	1.008528598	80.4916388	5657.826255	2.738585602	81.50989486	5655.165167	4.05958598	79.4775664	5655.911443	2.982256443	81.98924499	5652.973419	-4.10555384	82.06021496	5656.396055	0.53220759	82.34944513	5657.391774	0.2437669	83.46285414	5656.875742	4	4	3	4	4	4	3	3	2	2	1	0	0	1	2	1	2	2	1	2	2	1
11217	Ростовская область	Город Азов	Азов	г	81335	15004	47.06.44	039.25.24	47.11222222	39.42333333	60704000001	0	1	0.595242046	3.219397974	1774.722495	1.674315236	4.75029492	1773.297433	1.427719164	3.304571422	1773.169124	1.136226631	4.178172747	1775.1613	-2.011241567	2.916145332	1772.438289	1.750070752	4.002781947	1773.809336	-0.347940167	4.559119497	1772.765726	2.041116986	3.202017784	1774.131617	1.733876916	4.560391219	1772.972216	0.576833537	4.594923669	1773.415427	0.933692042	3.584135125	1771.243682	0.411132016	1.763591622	1772.880814	-0.935774276	2.465449999	1774.125298	0.941402765	4.714878336	1773.711328	2.123687226	4.090258824	1772.829974	-0.910819738	3.813417211	1774.572473	0.436055649	3.38268314	1774.237968	-0.070863825	3.867421725	1773.506288	1.391233705	2.889911981	1772.595283	1.201423498	3.242384875	1775.535612	1.878629742	3.022440986	1772.177063	0.404747062	4.339938229	1775.149232	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1
28079	Республика Тыва	Ак-Довурак	Ак-Довурак	г	13630	5453	51.10.43	090.35.55	51.17861111	90.59861111	93703000001	0	1	2.163006524	50.85350426	1120.43815	2.790245437	61.71528993	1113.450971	-1.677097064	58.32443569	1118.257231	-1.425300342	58.16631925	1114.117758	2.58006721	52.09443007	1114.886228	3.230205714	54.89997874	1116.839296	-1.915678523	59.05937276	1115.209004	2.31930757	53.36593632	1120.617425	0.193907166	54.58369857	1117.518281	-1.344469628	55.68417655	1106.259735	-0.409639418	53.69942801	1112.45001	-3.170073358	56.45852212	1115.830383	-3.223950897	49.76638181	1113.589012	0.752184905	56.22693771	1112.302275	3.23267571	57.60833892	1107.822831	0.338833755	56.48600738	1117.879828	4.508170966	54.84061641	1114.143848	4.282939443	56.27010087	1114.298536	0.259077933	58.14620292	1106.320955	-8.392625421	58.14986905	1116.008593	0.063003438	56.83851704	1114.317273	1.326315397	58.77402735	1114.735618	0	1	2	1	2	3	4	4	4	5	5	5	5	5	4	5	4	5	4	3	3	2
