region_name,region_name_rus,map_region_name,vodka,conyac,whiskey,vine,option_region_name,type,type_eng
АДЫГЕЯ РЕСП,Адыгея республика,Adygey,34.89,6.28,2.36,3.98,Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya,Respublika,Republic
АЛТАЙ РЕСП,Алтай республика,Altay,40.83,2.68,0.7,1.48,Altayskiy Kray,Kray,Territory
АЛТАЙСКИЙ КРАЙ,Алтайский край,Gorno-Altay,39.07,3.23,1.26,2.72,Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai,Respublika,Republic
АМУРСКАЯ ОБЛ,Амурская область,Amur,39.37,3.74,0.78,1.62,Amurskaya Oblast,Oblast,Region
АРХАНГЕЛЬСКАЯ ОБЛ,Архангельская область,Arkhangel'sk,38.5,4.5,1.07,3.58,Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast,Oblast,Region
АСТРАХАНСКАЯ ОБЛ,Астраханская область,Astrakhan',37.98,5.52,1.53,2.34,Astrachan|Astrakhanskaya Oblast,Oblast,Region
БАШКОРТОСТАН РЕСП,Башкортостан республика,Bashkortostan,49.22,4.37,1.67,3.23,Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan,Respublika,Republic
БЕЛГОРОДСКАЯ ОБЛ,Белгородская область,Belgorod,44.95,4.12,0.83,2.22,Belgorodskaya Oblast,Oblast,Region
БРЯНСКАЯ ОБЛ,Брянская область,Bryansk,29.94,3.62,1.15,3.15,Bryanskaya Oblast,Oblast,Region
БУРЯТИЯ РЕСП,Бурятия республика,Buryat,49.08,2.18,0.67,0.8,Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika,Respublika,Republic
ВЛАДИМИРСКАЯ ОБЛ,Владимирская область,Vladimir,34.72,4.22,1.19,3.93,Vladimirskaya Oblast,Oblast,Region
ВОЛГОГРАДСКАЯ ОБЛ,Волгоградская область,Volgograd,29.5,5.33,1.55,3.14,Stalingrad|Volgogradskaya Oblast,Oblast,Region
ВОЛОГОДСКАЯ ОБЛ,Вологодская область,Vologda,40.52,3.78,0.94,2.93,Vologodskaya Oblast,Oblast,Region
ВОРОНЕЖСКАЯ ОБЛ,Воронежская область,Voronezh,30.4,5.29,1.61,4.25,Voronezhskaya Oblast,Oblast,Region
